Student ID,Section,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Assignment 6
298204,A,43,44,15,91,24,20
253105,B,72,41,66,34,54,41
271233,A,36,38,20,22,22,35
219010,A,37,8,27,41,99,43
264183,B,35,64,70,89,10,37
239676,A,96,61,88,47,78,67
213318,B,41,53,96,82,78,98
207872,B,34,63,49,10,71,42
251584,A,97,48,65,47,76,9
263462,B,75,92,43,88,100,72
243412,B,97,27,62,99,22,46
275307,B,88,79,21,33,94,15
293437,A,53,24,9,56,46,60
264076,A,29,90,16,73,95,33
207476,B,5,4,3,86,51,65
274312,B,40,46,23,65,79,32
272568,B,17,51,64,25,82,95
247623,B,86,94,18,35,29,37
214188,B,69,55,45,81,12,35
279270,A,48,98,3,95,24,57
288309,B,76,30,9,98,98,13
226968,A,25,87,96,53,22,23
238440,B,61,70,45,10,99,43
270008,B,66,61,2,62,99,88
261605,B,29,22,24,4,62,43
205969,B,11,48,36,97,49,48
